data,color
"[30, 216, 5]","[117, 104, 81]"
"[80, 73, 6]","[177, 116, 114]"
"[85, 102, 4]","[170, 107, 98]"
"[163, 247, 4]","[135, 138, 121]"
"[113, 126, 3]","[202, 127, 127]"
"[46, 214, 1]","[62, 42, 34]"
"[181, 108, 26]","[229, 224, 220]"
"[143, 202, 1]","[85, 62, 60]"
"[152, 62, 2]","[148, 128, 123]"
"[124, 29, 3]","[182, 157, 149]"
"[102, 177, 4]","[193, 138, 140]"
"[93, 88, 4]","[184, 115, 108]"
"[73, 34, 7]","[175, 133, 120]"
"[166, 146, 15]","[224, 218, 213]"
"[101, 20, 4]","[176, 158, 149]"
"[133, 84, 4]","[235, 174, 176]"
"[172, 64, 16]","[232, 226, 222]"
"[20, 209, 7]","[164, 148, 133]"
"[123, 195, 7]","[205, 184, 183]"
"[129, 41, 6]","[222, 167, 156]"
"[148, 128, 6]","[209, 168, 166]"
"[47, 218, 2]","[64, 44, 35]"
"[132, 97, 3]","[209, 167, 175]"
"[121, 162, 3]","[171, 140, 138]"
"[97, 210, 4]","[152, 128, 123]"
"[156, 247, 4]","[114, 113, 94]"
"[86, 140, 4]","[125, 86, 80]"
"[120, 50, 7]","[230, 168, 163]"
"[23, 124, 21]","[205, 190, 181]"
"[185, 172, 13]","[223, 219, 214]"
"[142, 200, 1]","[91, 62, 58]"
"[33, 203, 7]","[167, 152, 138]"
"[85, 255, 3]","[89, 84, 68]"
"[55, 42, 3]","[115, 90, 83]"
"[49, 52, 3]","[144, 121, 110]"
"[76, 246, 4]","[116, 79, 65]"
"[97, 142, 3]","[129, 90, 88]"
"[180, 225, 4]","[105, 101, 82]"
"[105, 97, 6]","[228, 155, 155]"
"[6, 44, 10]","[217, 204, 195]"
"[130, 224, 5]","[227, 174, 166]"
"[66, 8, 19]","[227, 219, 211]"
"[102, 244, 2]","[171, 122, 114]"
"[87, 245, 4]","[158, 112, 101]"
"[52, 75, 4]","[187, 136, 120]"
"[84, 212, 7]","[149, 120, 111]"
"[124, 240, 4]","[132, 114, 101]"
"[56, 215, 8]","[167, 112, 96]"
"[118, 144, 4]","[187, 153, 151]"
"[67, 83, 4]","[178, 119, 114]"
